companyId,unitId,imei,esn,manufacturer,unitType,version,isRMA,liveAgeDays,HDOPQuality,ExcessiveEvents,LowBattery,IgnitionOnEventsAbnormal,PowerDisconnect,LowSatellites,DailyOdometerExceeded,WirelessSignal,MaintenanceLimitExceeded,LateEvents,CommLost,DailyEngineHoursExceeded
26529,200100913,860092057441038-051724204102,88U123180456-051724204102,Geometris,"80 Series",88,1,506,0,0,0,15.865954780578614,0,0,0,0,0,0,0,0
26529,200100915,860092057445898-051724204110,88U123180467-051724204110,Geometris,"80 Series",88,1,506,0,781,0,7.087166690826416,2,0,0,0,0,0,0,0
26529,200096016,860092057462059-051724204106,88U122860452-051724204106,Geometris,"80 Series",88,1,561,0,836.4444444444445,0,6.787275433540344,2,0,0,0,0,12.776412963867188,0,0
26376,200092108,862255067053345-051724204134,88U122500590-051724204134,Geometris,"80 Series",88,1,602,0,0,0,8.954820156097412,0,0,0,0,0,0,0,0
26252,200086045,88U122220298-051724204304,88U122220298-051724204304,Geometris,"80 Series",88,1,622,0,0,3.5964912280701755,5.577028052012126,1,0,0,0,0,0,0,0
26252,200086039,88U122220292-051724204300,88U122220292-051724204300,Geometris,"80 Series",88,1,622,0,0,0,6.113944212595622,16,0,0,0,0,0,0,0
26097,200104853,865640065057421-051724204129,88U123480091-051724204129,Geometris,"80 Series",88,1,456,0,0,0,0,1,0,0,0,0,0,0,0
26644,200099180,860092057427037,88U122860038,Geometris,"80 Series",88,1,554,0,1132.25,0,0,0,0,0,0,0,0,0,0
25738,200117118,016100000284539,6B301AAS,VidFleet,VidFleet,4K,1,318,57.05003901890346,0,0,0,0,0,0,0,0,0,0,0
28605,200132832,862427063941233-051524125914,88X140370189-051524125914,Geometris,"80 Series",88,1,61,76.31269454956055,0,0,0,3,0,0,0,0,0,0,0
26319,200091106,016100000010330-051424194159,6B301JRM-051424194159,VidFleet,VidFleet,4K,1,613,66.16220201764789,0,0,0,15.857142857142858,0,0,0,0,0,0,0
28515,200131832,016100000518332-051424190836,6B301ET4-051424190836,VidFleet,VidFleet,4K,1,81,21.611785888671875,0,0,0,0,0,0,0,0,0,0,0
28515,200131831,016100000491555-051424190832,6B301GU9-051424190832,VidFleet,VidFleet,4K,1,81,23.481495539347332,0,0,0,1,0,0,0,0,0,0,0
26319,200091104,016100000003202-051324203922,6B301JN9-051324203922,VidFleet,VidFleet,4K,1,612,58.67671114603679,0,0,0,0,0,0,0,0,0,0,0
28325,200129095,016100000529909-061024150420,6B301EGD-061024150420,VidFleet,VidFleet,4K,1,126,21.928871154785156,0,0,0,0,0,0,0,0,16.10702610015869,0,0
28325,200129097,016100000493957-051324183955,6B301EGN-051324183955,VidFleet,VidFleet,4K,1,126,25.061861855643137,0,0,0,1,0,0,0,0,0,0,0
26319,200091107,016100000004895-051024154038,6B301JYE-051024154038,VidFleet,VidFleet,4K,1,609,63.198039054870605,2731,0,0,0,0,0,0,0,0,0,0
26930,200106372,016100000224345-051024150617,6B3019FP-051024150617,VidFleet,VidFleet,4K,1,437,52.81778608049665,0,0,0,0,0,0,0,0,0,0,0
27701,200118088,016100000292136-051024142907,6B301A5R-051024142907,VidFleet,VidFleet,4K,1,290,44.12375411987305,0,0,0,0,0,0,0,0,0,0,0
26930,200106367,016100000215590-050924181519,6B3019K1-050924181519,VidFleet,VidFleet,4K,1,436,55.75276970863342,0,0,0,0,0,0,0,0,0,0,0
5175,200060586,864112052040001,4672025066,CalAmp,"32 - bit","TTU2830 Cat-M",1,285,67.76307830810546,0,1.3333333333333333,0,0,0,0,0,0,0,0,0
23396,200114156,016100000295113-050824181859,6B301A55-050824181859,VidFleet,VidFleet,4K,1,343,57.87089157104492,0,0,0,0,0,0,0,0,0,0,0
27991,200136330,016100000546192,6B301FYZ,VidFleet,VidFleet,4K,1,57,22.479345003763836,0,0,0,0,0,0,0,0,0,0,0
26932,200130346,016100000552489-050824181903,6B301EPB-050824181903,VidFleet,VidFleet,4K,1,155,0,0,0,0,1,0,0,0,0,0,0,0
25991,200102900,860092057508497,88U122940160,Geometris,"80 Series",88,1,225,0,0,0,7.164589786529541,0,0,0,0,0,0,0,0
21317,200135449,862255062594707-050324163541,862255062594707-050324163541,TopFly,"Asset (0x27)",TLP2,1,11,0,0,0,0,0,33.85826873779297,0,0,0,0,0,0
21122,200048787,868199059573833-050224181831,4675131025-050224181831,CalAmp,"32 - bit","LMU2630 CAT_M",1,591,0,0,3.25,0,0,0,0,0,0,0,0,0
24558,200088078,,6B301LXP,VidFleet,VidFleet,4K,1,874,52.810328882794046,0,0,0,1,0,0,0,0,0,0,0
1181,200128509,016100000502096-053124171816,6B301E86-053124171816,VidFleet,VidFleet,4K,1,130,26.009464836120607,0,0,0,0,0,0,0,0,0,0,0
25512,200076338,355286085016968,4572221613,CalAmp,"32 - bit","LMU3035 LTE",1,615,0,0,0,8.049110174179077,3,0,0,0,0,0,0,0
26446,200120936,016100000314898,6B301BCT,VidFleet,VidFleet,4K,1,240,49.42582159222297,2644.6111111111113,0,6.08695650100708,1.3,0,1697.1857503255208,0,0,16.45161247253418,0,0
26930,200106379,016100000233742-042524194413,6B3019H1-042524194413,VidFleet,VidFleet,4K,1,422,59.7626953125,0,0,0,0,0,0,0,0,0,0,0
26930,200106378,016100000140962-042524183855,6B3019GJ-042524183855,VidFleet,VidFleet,4K,1,422,58.52662104945029,0,0,0,1,0,0,0,0,0,0,0
25738,200121072,016100000326801,6B301B15,VidFleet,VidFleet,4K,1,271,51.60297608375549,0,0,0,1,0,0,0,0,42.54545593261719,0,0
26930,200106375,016100000217679-042524154831,6B3019Q2-042524154831,VidFleet,VidFleet,4K,1,422,53.46689987182617,0,0,0,2,0,0,0,0,0,0,0
28206,200127267,016100000553917,6B301EAT,VidFleet,VidFleet,4K,1,143,20.09758949279785,0,0,0,1,0,31587.8173828125,0,0,42.837579590933665,0,0
26930,200106371,016100000224428-042424194752,6B3019G1-042424194752,VidFleet,VidFleet,4K,1,421,44.08528464181082,0,0,0,1,0,0,0,0,0,0,0
26930,200106370,016100000233502-042424192911,6B3019JS-042424192911,VidFleet,VidFleet,4K,1,421,55.99251842498779,0,0,0,0,0,0,0,0,0,0,0
26930,200106376,016100000212514-042424183652,6B3019N6-042424183652,VidFleet,VidFleet,4K,1,421,52.05627632141113,0,0,0,1,0,0,0,0,0,0,0
26027,200089443,866626031287787-042424160508,6B301TBK-042424160508,VidFleet,VidFleet,4K,1,670,45.39761734008789,0,0,5.55555534362793,0,0,0,0,0,0,0,0
26027,200089450,866626031287464-042424154154,6B301T90-042424154154,VidFleet,VidFleet,4K,1,670,50.8674588757892,0,0,0,0,0,0,0,0,0,0,0
22507,200026961,359636091128973,4674323490,CalAmp,"32 - bit","2630 LTE",1,1165,0,0,10.5,0,0,0,0,0,0,0,0,0
28441,200131283,016100000520981,6B301EPY,VidFleet,VidFleet,4K,1,75,31.383973757425945,0,0,0,0,0,0,0,0,0,0,0
28071,200124320,862785045561381-041724134828,87X193090196-041724134828,Geometris,"80 Series","80 Series HSPA 3G",1,178,0,0,0,8.714893068586077,1,0,0,0,0,10.256410598754883,0,0
25496,200069048,68B120060024,68B120060024,Geometris,"68 Series","68 Series",1,566,88.2246322631836,949,3,31.574732780456543,61.75,0,0,0,0,0,0,0
28579,200132551,016100000494336,6B301G0W,VidFleet,VidFleet,4K,1,74,22.460033416748047,0,0,0,0,0,0,0,0,0,0,0
4648,200046054,96X111170146,96X111170146,Geometris,"80 Series","96-ATT Series",1,1043,0,794.9051724137931,3.1666666666666665,6.760901655469622,1.6363636363636365,0,0,0,0,0,0,0
27566,200115585,867969065020065,88X131390187,Geometris,"80 Series",88,1,332,0,0,0,5.8785529136657715,0,0,0,0,0,0,0,0
28174,200127228,016100000491951,6B301E87,VidFleet,VidFleet,4K,1,129,0,0,0,8.388949871063232,0,0,0,0,0,10.344827651977539,0,0
26027,200089430,866626031286383-041124154316,6B301VQK-041124154316,VidFleet,VidFleet,4K,1,657,54.08577747834035,0,0,0,1.3125,0,0,0,0,0,0,0
26027,200089427,866626031288678-041124154308,6B301VPM-041124154308,VidFleet,VidFleet,4K,1,657,48.327048972800924,0,0,0,1,0,0,0,0,0,0,0
26027,200089457,866626031167096-041124154312,6B301THN-041124154312,VidFleet,VidFleet,4K,1,657,57.0203140258789,0,0,0,0,0,0,0,0,0,0,0
28318,200128911,016100000496760-041124154323,6B301F18-041124154323,VidFleet,VidFleet,4K,1,98,521.7335815429688,0,0,0,1,0,0,0,0,0,0,0
27707,200118197,862427060286798,88X131230883,Geometris,"80 Series",88,1,265,0,0,0,0,0,91.57152975759199,0,0,0,0,0,0
2241,200053698,864919057764157,4675190946,CalAmp,"32 - bit","LMU2630 CAT_M",1,963,0,1622.648148148148,1.6136363636363635,0,4.770491803278689,0,0,0,0,0,0,0
5175,200046761,868199054299202,4672002226,CalAmp,"32 - bit","TTU2830 Cat-M",1,285,67.47159957885742,0,7,0,166,100,0,0,0,0,0,0
4201,200033769,356052109014275,4674881054,CalAmp,"32 - bit","2630 LTE",1,1121,0,0,1,6.63265323638916,0,0,0,0,0,0,0,0
26241,200089961,866626031181022,6B301TAB,VidFleet,VidFleet,4K,1,599,41.58474566386296,0,0,0,4.7368421052631575,0,0,0,0,0,0,0
26027,200089435,866626031182236-040924172329,6B301TAK-040924172329,VidFleet,VidFleet,4K,1,654,71.26601028442383,0,0,5.405405521392822,0,0,0,0,0,0,0,0
24558,200115317,866626030868520,6B2CMLM5,VidFleet,VidFleet,4K,1,290,58.24544357299805,0,0,0,1,0,0,0,0,0,0,0
1181,200112646,016100000215244,6B301804,VidFleet,VidFleet,4K,1,329,54.56798332615902,0,0,7.1944932831658255,23.753623188405797,23.64341163635254,0,0,0,0,0,0
27586,200116122,016100000269365,6B301AWW,VidFleet,VidFleet,4K,1,302,60.875523942889586,0,0,0,1,0,0,0,0,0,0,0
463,200065366,68B120040026,68B120040026,Geometris,"68 Series","68 Series",1,787,78.57046593560113,1171.3333333333333,0,7.317073345184326,0,0,0,0,0,10.676156997680664,0,0
28568,200132441,353535093773164,4674213954,CalAmp,"32 - bit","2630 LTE",1,39,112.78330841064454,0,0,0,0,0,0,0,0,0,0,0
22101,200045314,868199051809425,4675067580,CalAmp,"32 - bit","2630 LTE",1,437,0,738,1.8888888888888888,0,0,0,0,0,0,0,0,0
227,200122088,860092055712422,4675318084,CalAmp,"32 - bit","2630 LTE",1,62,0,0,1,0,0,0,0,0,0,0,0,0
27249,200111475,016100000216713,6B3019UW,VidFleet,VidFleet,4K,1,337,56.18980693817139,0,0,0,0,0,0,0,0,10.788544178009033,0,0
24115,200106838,860111054713619,88B113270108,Geometris,"80 Series",88,1,379,0,0,0,7.8125,1,0,0,0,0,0,0,0
